date,country_name,country_code,ftot_agcy_covg_chg,ftot_corp_covg_chg,ftot_stk_covg_chg,ftot_treas_covg_chg
9/30/2011,Austria,10189,11,37,198,33
9/30/2011,Belgium,10251,3,411,356,1
9/30/2011,Cyprus,10405,0,1,52,0
9/30/2011,Denmark,10502,23,6484,2599,18
9/30/2011,Finland,10707,0,533,1525,0
9/30/2011,France,10804,138,3563,5998,6174
9/30/2011,Germany,11002,5,1044,5493,27
9/30/2011,Greece,11207,0,0,62,0
9/30/2011,Iceland,11304,0,0,79,0
9/30/2011,Ireland,11401,1,180,4173,0
9/30/2011,Italy,11509,0,26,696,32
9/30/2011,Luxembourg,11703,177,5047,8950,145
9/30/2011,Malta,11819,0,0,12,0
9/30/2011,Monaco,12009,3,3,397,0
9/30/2011,Netherlands,12106,32,1701,6251,18
9/30/2011,Norway,12203,0,0,244,0
9/30/2011,Portugal,12319,0,0,41,0
9/30/2011,Spain,12505,1,32,356,36
9/30/2011,Sweden,12602,0,6,3168,0
9/30/2011,Switzerland,12688,30,904,3775,75
9/30/2011,Turkey,12807,0,0,18,0
9/30/2011,UK,13005,194,8015,22650,338
9/30/2011,Guernsey,13006,69,1476,7795,284
9/30/2011,Jersey,13007,4,15,469,6
9/30/2011,IsleMan,13008,0,0,778,0
9/30/2011,Channel_IsleMan,13056,73,1491,9042,290
9/30/2011,SerbiaMontenegro,13218,0,0,0,0
9/30/2011,Croatia,14214,0,0,4,0
9/30/2011,Slovenia,14338,0,0,24,0
9/30/2011,Bulgaria,15202,0,0,10,0
9/30/2011,CzechRep,15288,0,83,82,1
9/30/2011,Hungary,15504,0,0,376,0
9/30/2011,Latvia,15601,0,1,57,0
9/30/2011,Lithuania,15709,0,0,2,0
9/30/2011,Poland,15768,0,0,13,0
9/30/2011,Romania,15806,0,0,277,0
9/30/2011,Russia,16101,0,0,87,0
9/30/2011,Ukraine,16403,0,0,5,0
9/30/2011,Kazakhstan,16543,0,0,8,0
9/30/2011,EuroArea,16713,368,12575,34228,6472
9/30/2011,EurOther,18007,14,48,1281,39
9/30/2011,EurTotal,19992,691,29568,77523,7194
9/30/2011,Canada,29998,7,1482,20283,113
9/30/2011,Argentina,30104,17,177,775,55
9/30/2011,Barbados,30155,2,9,85,268
9/30/2011,Brazil,30309,2,85,186,7
9/30/2011,Chile,30406,3,36,182,4
9/30/2011,Colombia,30503,1,33,171,2
9/30/2011,Cuba,30708,0,0,0,0
9/30/2011,DominicanRep,30805,2,17,38,1
9/30/2011,Ecuador,31003,37,64,45,7
9/30/2011,ElSalvador,31089,0,9,20,1
9/30/2011,Jamaica,31607,3,43,22,1
9/30/2011,Mexico,31704,37,303,786,40
9/30/2011,Panama,31887,46,339,909,79
9/30/2011,Peru,32204,2,13,31,2
9/30/2011,TrinidadTobago,32409,0,24,40,0
9/30/2011,Uruguay,32603,14,117,291,44
9/30/2011,Venezuela,32719,66,155,339,34
9/30/2011,CaribOther,33596,28,49,310,271
9/30/2011,CaribTotal,34401,833,70859,122044,5109
9/30/2011,Aruba,35254,6,1,7,2
9/30/2011,Bahamas,35319,33,423,939,167
9/30/2011,Bermuda,35602,405,967,10480,2119
9/30/2011,Belize,35718,0,6,109,0
9/30/2011,BritishVI,35807,284,2023,7211,161
9/30/2011,Cayman,36137,78,67316,102775,2390
9/30/2011,NethAnt,37206,2,14,267,0
9/30/2011,SaintLucia,37508,0,0,9,0
9/30/2011,TurksCaicosI,37818,0,14,25,0
9/30/2011,CaribBanking,39001,848,71082,122581,4916
9/30/2011,LAOther,39101,208,298,318,34
9/30/2011,LATotal,39942,434,1652,4089,311
9/30/2011,SriLanka,41319,0,0,2,0
9/30/2011,China,41408,0,16,2665,0
9/30/2011,HongKong,42005,1,88,1355,409
9/30/2011,India,42102,2,9,237,1
9/30/2011,Indonesia,42218,0,0,39,0
9/30/2011,Israel,42501,65,175,2371,33
9/30/2011,Japan,42609,33,2841,5784,68
9/30/2011,Korea,43001,2,1,997,0
9/30/2011,Lebanon,43419,0,0,58,0
9/30/2011,Malaysia,43605,33,3,210,2
9/30/2011,Pakistan,44709,0,1,12,0
9/30/2011,Philippines,44806,23,2,68,1
9/30/2011,Singapore,46019,28,711,7001,382
9/30/2011,Taiwan,46302,0,19,1019,4
9/30/2011,Thailand,46418,0,1,76,0
9/30/2011,MEOil,46612,97,450,7870,215
9/30/2011,Vietnam,46906,0,0,8,0
9/30/2011,AsiaOther,48909,0,0,121,0
9/30/2011,AsiaTotal,49999,284,4317,29883,1115
9/30/2011,Botswana,50504,0,0,2,0
9/30/2011,Ghana,52604,0,0,0,0
9/30/2011,Liberia,53201,250,364,49,197
9/30/2011,Mauritius,53805,0,1,92,0
9/30/2011,Morocco,54003,0,0,8,0
9/30/2011,SouthAfrica,55719,0,2,144,0
9/30/2011,Egypt,57002,0,35,23,18
9/30/2011,AfricaOil,57215,0,0,16,0
9/30/2011,AfricaOther,58904,0,11,166,0
9/30/2011,AfricaTotal,59994,250,412,406,215
9/30/2011,Australia,60089,69,324,11178,33
9/30/2011,MarshallI,61204,0,2,6,1
9/30/2011,NZealand,61689,0,18,549,0
9/30/2011,PacificAll,63908,2,4,78,1
9/30/2011,ForeignAll,69995,2570,108636,266033,14091
9/30/2011,IROTotal,79995,0,37,667,31
9/30/2011,FOI_All_Countries,99990,97,359,25595,326
9/30/2011,Total,99996,2571,50852,266869,14122
