country_name,country_code,n_obs,start_date,end_date
Austria,10189,115,Jun-11,Dec-20
Belgium,10251,115,Jun-11,Dec-20
Denmark,10502,115,Jun-11,Dec-20
Finland,10707,115,Jun-11,Dec-20
France,10804,115,Jun-11,Dec-20
Germany,11002,115,Jun-11,Dec-20
Greece,11207,115,Jun-11,Dec-20
Ireland,11401,115,Jun-11,Dec-20
Italy,11509,115,Jun-11,Dec-20
Luxembourg,11703,115,Jun-11,Dec-20
Netherlands,12106,115,Jun-11,Dec-20
Norway,12203,115,Jun-11,Dec-20
Portugal,12319,115,Jun-11,Dec-20
Spain,12505,115,Jun-11,Dec-20
Sweden,12602,115,Jun-11,Dec-20
Switzerland,12688,115,Jun-11,Dec-20
Turkey,12807,115,Jun-11,Dec-20
UK,13005,115,Jun-11,Dec-20
Guernsey,13006,115,Jun-11,Dec-20
Jersey,13007,115,Jun-11,Dec-20
Poland,15768,115,Jun-11,Dec-20
Russia,16101,115,Jun-11,Dec-20
EuroArea,16713,115,Jun-11,Dec-20
EurTotal,19992,115,Jun-11,Dec-20
Canada,29998,115,Jun-11,Dec-20
Argentina,30104,115,Jun-11,Dec-20
Barbados,30155,115,Jun-11,Dec-20
Anguilla,30228,108,Jan-12,Dec-20
Brazil,30309,115,Jun-11,Dec-20
Chile,30406,115,Jun-11,Dec-20
Colombia,30503,115,Jun-11,Dec-20
CostaRica,30589,108,Jan-12,Dec-20
Guatemala,31208,108,Jan-12,Dec-20
Mexico,31704,115,Jun-11,Dec-20
Panama,31887,115,Jun-11,Dec-20
Peru,32204,115,Jun-11,Dec-20
TrinidadTobago,32409,115,Jun-11,Dec-20
Uruguay,32603,115,Jun-11,Dec-20
Venezuela,32719,115,Jun-11,Dec-20
CaribTotal,34401,115,Jun-11,Dec-20
Aruba,35254,115,Jun-11,Dec-20
Bahamas,35319,115,Jun-11,Dec-20
Bermuda,35602,115,Jun-11,Dec-20
BritishVI,35807,115,Jun-11,Dec-20
Cayman,36137,115,Jun-11,Dec-20
NethAnt,37206,115,Jun-11,Dec-20
StKittsNevis,37303,108,Jan-12,Dec-20
CaribBanking,39001,115,Jun-11,Dec-20
LATotal,39942,115,Jun-11,Dec-20
China,41408,115,Jun-11,Dec-20
HongKong,42005,115,Jun-11,Dec-20
India,42102,115,Jun-11,Dec-20
Indonesia,42218,115,Jun-11,Dec-20
Israel,42501,115,Jun-11,Dec-20
Japan,42609,115,Jun-11,Dec-20
Korea,43001,115,Jun-11,Dec-20
Kuwait,43109,108,Jan-12,Dec-20
Malaysia,43605,115,Jun-11,Dec-20
Philippines,44806,115,Jun-11,Dec-20
SaudiArabia,45608,108,Jan-12,Dec-20
Singapore,46019,115,Jun-11,Dec-20
Taiwan,46302,115,Jun-11,Dec-20
Thailand,46418,115,Jun-11,Dec-20
UAE,46604,108,Jan-12,Dec-20
AsiaTotal,49999,115,Jun-11,Dec-20
Liberia,53201,115,Jun-11,Dec-20
Mauritius,53805,115,Jun-11,Dec-20
SouthAfrica,55719,115,Jun-11,Dec-20
Egypt,57002,115,Jun-11,Dec-20
AfricaTotal,59994,115,Jun-11,Dec-20
Australia,60089,115,Jun-11,Dec-20
NZealand,61689,115,Jun-11,Dec-20
ForeignAll,69995,115,Jun-11,Dec-20
IROTotal,79995,115,Jun-11,Dec-20
FOI_All_Countries,99990,115,Jun-11,Dec-20
Total,99996,115,Jun-11,Dec-20
